freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.513e+02,4.128e+01,1.720e+01,1.010e+03
1.7,6.196e+02,6.296e+01,7.390e+01,7.565e+02
3.4,1.557e+02,5.125e+01,8.390e+01,2.909e+02
5.0,8.807e+02,5.176e+01,8.577e+01,1.018e+03
6.7,2.236e+03,4.932e+01,8.247e+01,2.367e+03
8.4,3.533e+03,4.938e+01,7.773e+01,3.660e+03
10.1,5.067e+03,4.896e+01,7.935e+01,5.196e+03
11.7,6.920e+03,4.822e+01,8.464e+01,7.053e+03
13.4,9.164e+03,5.089e+01,9.676e+01,9.312e+03
15.1,1.191e+04,5.407e+01,1.224e+02,1.209e+04
16.8,1.501e+04,5.334e+01,1.802e+02,1.524e+04
18.4,1.838e+04,5.380e+01,1.510e+02,1.858e+04
20.1,2.392e+04,5.323e+01,1.250e+02,2.410e+04
21.8,2.811e+04,5.567e+01,1.563e+02,2.833e+04
23.5,2.626e+04,5.786e+01,1.818e+02,2.650e+04
25.1,2.840e+04,5.303e+01,1.412e+02,2.859e+04
26.8,3.525e+04,5.423e+01,1.142e+02,3.542e+04
28.5,4.289e+04,5.796e+01,1.200e+02,4.307e+04
30.2,5.043e+04,6.136e+01,1.208e+02,5.062e+04
31.8,5.847e+04,6.089e+01,1.378e+02,5.867e+04
33.5,6.728e+04,5.869e+01,1.457e+02,6.749e+04
35.2,7.728e+04,6.700e+01,1.592e+02,7.750e+04
36.9,8.957e+04,7.783e+01,2.165e+02,8.986e+04
38.5,1.040e+05,8.306e+01,2.839e+02,1.044e+05
40.2,1.211e+05,7.830e+01,3.859e+02,1.216e+05
41.9,1.456e+05,7.384e+01,5.111e+02,1.462e+05
43.6,1.696e+05,7.087e+01,7.386e+02,1.704e+05
45.2,1.950e+05,9.500e+01,1.114e+03,1.962e+05
46.9,2.243e+05,1.335e+02,1.960e+03,2.264e+05
48.6,2.150e+05,1.241e+02,2.453e+03,2.175e+05
50.3,1.850e+05,1.409e+02,1.947e+03,1.871e+05
51.9,1.947e+05,2.147e+02,1.985e+03,1.969e+05
53.6,2.385e+05,2.630e+02,3.211e+03,2.420e+05
55.3,2.965e+05,3.993e+02,5.618e+03,3.025e+05
57.0,3.541e+05,7.359e+02,8.739e+03,3.636e+05
58.6,4.317e+05,1.207e+03,9.930e+03,4.428e+05
60.3,5.424e+05,1.689e+03,6.433e+03,5.506e+05
62.0,6.527e+05,2.268e+03,3.471e+03,6.584e+05
63.7,7.579e+05,2.491e+03,5.691e+03,7.661e+05
65.3,8.820e+05,2.379e+03,1.113e+04,8.955e+05
67.0,9.810e+05,3.368e+03,1.513e+04,9.995e+05
68.7,1.105e+06,6.492e+03,1.566e+04,1.127e+06
70.4,1.438e+06,1.298e+04,1.408e+04,1.465e+06
72.0,1.993e+06,2.968e+04,1.069e+04,2.034e+06
73.7,2.631e+06,6.543e+04,6.653e+03,2.703e+06
75.4,2.993e+06,1.216e+05,4.083e+03,3.119e+06
77.1,3.081e+06,1.847e+05,4.251e+03,3.270e+06
78.7,3.011e+06,2.256e+05,5.905e+03,3.243e+06
80.4,2.791e+06,2.343e+05,7.115e+03,3.033e+06
82.1,2.318e+06,2.301e+05,7.712e+03,2.556e+06
83.8,1.862e+06,2.174e+05,7.988e+03,2.087e+06
85.4,1.569e+06,1.901e+05,7.725e+03,1.767e+06
87.1,1.349e+06,1.505e+05,6.790e+03,1.506e+06
88.8,1.150e+06,1.119e+05,5.448e+03,1.267e+06
90.5,9.795e+05,8.320e+04,4.029e+03,1.067e+06
92.1,8.458e+05,6.280e+04,2.635e+03,9.112e+05
93.8,7.471e+05,5.247e+04,1.639e+03,8.012e+05
95.5,6.663e+05,4.320e+04,1.127e+03,7.106e+05
97.2,6.008e+05,2.951e+04,8.190e+02,6.311e+05
98.8,5.507e+05,1.599e+04,4.954e+02,5.672e+05
100.5,4.908e+05,8.467e+03,3.001e+02,4.996e+05
102.2,4.316e+05,5.720e+03,2.902e+02,4.376e+05
103.9,3.777e+05,4.386e+03,3.386e+02,3.824e+05
105.5,3.312e+05,3.126e+03,4.222e+02,3.348e+05
107.2,3.099e+05,1.440e+03,6.033e+02,3.119e+05
108.9,3.019e+05,7.636e+02,8.686e+02,3.036e+05
110.6,3.061e+05,2.347e+03,1.165e+03,3.096e+05
112.2,3.027e+05,6.131e+03,1.287e+03,3.101e+05
113.9,2.925e+05,8.679e+03,1.457e+03,3.027e+05
115.6,2.940e+05,9.670e+03,1.708e+03,3.053e+05
117.3,3.233e+05,1.040e+04,2.188e+03,3.359e+05
118.9,3.898e+05,1.238e+04,2.712e+03,4.049e+05
120.6,5.122e+05,1.165e+04,3.468e+03,5.274e+05
122.3,7.594e+05,8.559e+03,4.812e+03,7.728e+05
124.0,1.426e+06,1.196e+04,7.278e+03,1.445e+06
125.6,2.878e+06,3.033e+04,1.240e+04,2.921e+06
127.3,3.520e+06,4.122e+04,1.413e+04,3.576e+06
129.0,2.843e+06,3.349e+04,1.019e+04,2.887e+06
130.7,3.198e+06,6.362e+04,7.550e+03,3.270e+06
132.3,3.091e+06,7.798e+04,6.019e+03,3.175e+06
134.0,7.345e+05,1.919e+04,1.448e+03,7.552e+05
135.7,1.961e+04,7.006e+02,1.624e+02,2.047e+04
137.4,1.114e+04,6.075e+02,1.464e+02,1.189e+04
139.0,1.252e+04,7.945e+02,1.604e+02,1.348e+04
140.7,1.408e+04,9.618e+02,1.838e+02,1.523e+04
142.4,1.419e+04,1.053e+03,2.038e+02,1.544e+04
144.1,1.281e+04,9.475e+02,1.802e+02,1.394e+04
145.8,1.232e+04,8.204e+02,1.908e+02,1.333e+04
147.4,1.344e+04,7.952e+02,2.205e+02,1.446e+04
149.1,1.730e+04,8.958e+02,2.744e+02,1.847e+04
150.8,1.878e+04,8.481e+02,3.729e+02,2.000e+04
152.5,1.507e+04,8.270e+02,3.088e+02,1.621e+04
154.1,1.331e+04,1.140e+03,2.218e+02,1.467e+04
155.8,1.186e+04,1.457e+03,2.194e+02,1.354e+04
157.5,1.306e+04,1.783e+03,2.440e+02,1.509e+04
159.2,1.393e+04,1.973e+03,2.494e+02,1.615e+04
160.8,1.392e+04,1.785e+03,1.884e+02,1.589e+04
162.5,1.523e+04,1.560e+03,1.640e+02,1.695e+04
164.2,1.614e+04,1.445e+03,1.799e+02,1.777e+04
165.9,1.602e+04,1.365e+03,1.776e+02,1.756e+04
167.5,1.613e+04,1.157e+03,1.816e+02,1.747e+04
169.2,1.674e+04,9.881e+02,1.711e+02,1.790e+04
170.9,1.872e+04,8.446e+02,1.722e+02,1.973e+04
172.6,2.423e+04,8.101e+02,1.811e+02,2.522e+04
174.2,2.440e+04,7.557e+02,1.787e+02,2.533e+04
175.9,2.199e+04,6.820e+02,1.858e+02,2.286e+04
177.6,1.937e+04,7.014e+02,1.923e+02,2.026e+04
179.3,1.748e+04,7.569e+02,1.853e+02,1.842e+04
180.9,1.583e+04,7.866e+02,1.733e+02,1.679e+04
182.6,1.412e+04,8.527e+02,1.580e+02,1.513e+04
184.3,1.229e+04,8.641e+02,1.467e+02,1.330e+04
186.0,1.120e+04,8.211e+02,1.558e+02,1.217e+04
187.6,1.087e+04,8.216e+02,1.501e+02,1.184e+04
189.3,1.090e+04,8.646e+02,1.531e+02,1.192e+04
191.0,1.121e+04,8.999e+02,1.567e+02,1.227e+04
192.7,1.172e+04,9.394e+02,1.652e+02,1.282e+04
194.3,1.288e+04,1.012e+03,1.812e+02,1.407e+04
196.0,1.383e+04,9.363e+02,1.866e+02,1.495e+04
197.7,1.534e+04,7.644e+02,2.010e+02,1.630e+04
199.4,1.760e+04,6.631e+02,1.851e+02,1.845e+04
